Individual,Trial,Predator,Circle,Initial ,Total ,Treatment,Scale Time,EscapeResponse,ColourDiffPercent,Colour Diff,Brightness D,Brightness.DifferencePercent,Avg Time,Weber Contrast,Length,Size
4,1,P,B,2,3,PB,1,FAST,15.5064935,0.155064935,4303.830333,6.56722413,2.5,-0.714729101,239,23.9
4,2,N,B,28,31,NB,2,SLOW,15.5064935,0.155064935,4303.830333,6.56722413,29.5,-0.714729101,239,23.9
4,3,P,Y,2,3,PY,1,FAST,2.9811925,0.029811925,17868.58667,27.26571552,2.5,-0.912317312,239,23.9
4,4,N,Y,4,6,NY,1,FAST,2.9811925,0.029811925,17868.58667,27.26571552,5,-0.912317312,239,23.9
5,1,P,B,1,2,PB,1,FAST,15.6411988,0.156411988,1065.091,1.625224689,1.5,0.13588874,349,34.9
5,2,N,B,21,24,NB,2,SLOW,15.6411988,0.156411988,1065.091,1.625224689,22.5,0.13588874,349,34.9
5,3,P,Y,1,2,PY,1,FAST,3.4893419,0.034893419,11339.824,17.30346227,1.5,-0.55988116,349,34.9
5,4,N,Y,13,21,NY,2,SLOW,3.4893419,0.034893419,11339.824,17.30346227,17,-0.55988116,349,34.9
6,1,P,B,2,3,PB,1,FAST,12.7746525,0.127746525,5270.75,8.042648966,2.5,-0.742656086,351,35.1
6,2,N,B,3,4,NB,1,FAST,12.7746525,0.127746525,5270.75,8.042648966,3.5,-0.742656086,351,35.1
6,3,P,Y,1,2,PY,1,FAST,2.6723531,0.026723531,19577.774,29.87376822,1.5,-0.914688191,351,35.1
6,4,N,Y,50,51,NY,2,SLOW,2.6723531,0.026723531,19577.774,29.87376822,50.5,-0.914688191,351,35.1
7,1,P,B,4,5,PB,1,FAST,19.3968196,0.193968196,5391.971333,8.227620864,4.5,-0.799519497,437,43.7
7,2,N,B,3,6,NB,1,FAST,19.3968196,0.193968196,5391.971333,8.227620864,4.5,-0.799519497,437,43.7
7,3,P,Y,14,16,PY,2,SLOW,4.8075345,0.048075345,18121.92667,27.65228758,15,-0.930586852,437,43.7
7,4,N,Y,15,20,NY,2,SLOW,4.8075345,0.048075345,18121.92667,27.65228758,17.5,-0.930586852,437,43.7
8,1,P,B,1,2,PB,1,FAST,15.2797905,0.152797905,4548.798333,6.941021337,1.5,-0.738385656,312,31.2
8,2,N,B,4,5,NB,1,FAST,15.2797905,0.152797905,4548.798333,6.941021337,4.5,-0.738385656,312,31.2
8,3,P,Y,3,4,PY,1,FAST,4.2796878,0.042796878,18941.49467,28.90286819,3.5,-0.921604036,312,31.2
8,4,N,Y,4,6,NY,1,FAST,4.2796878,0.042796878,18941.49467,28.90286819,5,-0.921604036,312,31.2
9,1,P,B,4,7,PB,1,FAST,8.4482034,0.084482034,4524.065667,6.903281707,5.5,-0.644016771,288,28.8
9,2,N,B,7,15,NB,2,SLOW,8.4482034,0.084482034,4524.065667,6.903281707,11,-0.644016771,288,28.8
9,3,P,Y,1,2,PY,1,FAST,7.3158146,0.073158146,18109.259,27.63295796,1.5,-0.878691611,288,28.8
9,4,N,Y,5,20,NY,2,SLOW,7.3158146,0.073158146,18109.259,27.63295796,12.5,-0.878691611,288,28.8
10,1,P,B,1,2,PB,1,FAST,15.0553453,0.150553453,3862.394667,5.893636479,1.5,-0.579542215,267.4,26.74
10,2,N,B,33,35,NB,2,SLOW,15.0553453,0.150553453,3862.394667,5.893636479,34,-0.579542215,267.4,26.74
10,3,P,Y,1,2,PY,1,FAST,2.3048625,0.023048625,17524.77,26.74108492,1.5,-0.862180057,267.4,26.74
10,4,N,Y,1,10,NY,1,FAST,2.3048625,0.023048625,17524.77,26.74108492,5.5,-0.862180057,267.4,26.74
11,1,P,B,31,32,PB,2,SLOW,29.9566435,0.299566435,5260.77,8.027420462,31.5,-0.889930563,322.3,32.23
11,2,N,B,84,89,NB,2,SLOW,29.9566435,0.299566435,5260.77,8.027420462,86.5,-0.889930563,322.3,32.23
11,3,P,Y,2,3,PY,1,FAST,13.865188,0.13865188,18034.05567,27.51820503,2.5,-0.965184147,322.3,32.23
11,4,N,Y,211,213,NY,2,SLOW,13.865188,0.13865188,18034.05567,27.51820503,212,-0.965184147,322.3,32.23
12,1,P,B,62,63,PB,2,SLOW,11.9318577,0.119318577,4012.417667,6.122556903,62.5,-0.865831904,246,24.6
12,2,N,B,158,162,NB,2,SLOW,11.9318577,0.119318577,4012.417667,6.122556903,160,-0.865831904,246,24.6
12,3,P,Y,9,13,PY,2,SLOW,8.9495598,0.089495598,17085.406,26.07065843,11,-0.96489512,246,24.6
12,4,N,Y,41,48,NY,2,SLOW,8.9495598,0.089495598,17085.406,26.07065843,44.5,-0.96489512,246,24.6
13,1,P,B,1,2,PB,1,FAST,18.8749061,0.188749061,5657.644667,8.633012385,1.5,-0.86766451,186,18.6
13,2,N,B,15,18,NB,2,SLOW,18.8749061,0.188749061,5657.644667,8.633012385,16.5,-0.86766451,186,18.6
13,3,P,Y,1,2,PY,1,FAST,2.5815567,0.025815567,20589.02933,31.41684494,1.5,-0.959783979,186,18.6
13,4,N,Y,19,21,NY,2,SLOW,2.5815567,0.025815567,20589.02933,31.41684494,20,-0.959783979,186,18.6
14,1,P,B,3,8,PB,1,FAST,6.7920274,0.067920274,20360.122,31.06755474,5.5,2.856427502,222,22.2
14,2,N,B,32,35,NB,2,SLOW,6.7920274,0.067920274,20360.122,31.06755474,33.5,2.856427502,222,22.2
14,3,P,Y,1,2,PY,1,FAST,8.2900274,0.082900274,7826.897,11.94307927,1.5,0.397940385,222,22.2
14,4,N,Y,9,12,NY,2,SLOW,8.2900274,0.082900274,7826.897,11.94307927,10.5,0.397940385,222,22.2
15,1,P,B,5,6,PB,1,FAST,20.1717805,0.201717805,5759.539,8.788493172,5.5,-0.818503736,224,22.4
15,2,N,B,19,21,NB,2,SLOW,20.1717805,0.201717805,5759.539,8.788493172,20,-0.818503736,224,22.4
15,3,P,Y,4,12,PY,1,FAST,5.4061616,0.054061616,19178.83767,29.26503039,8,-0.93758006,224,22.4
15,4,N,Y,84,88,NY,2,SLOW,5.4061616,0.054061616,19178.83767,29.26503039,86,-0.93758006,224,22.4
16,1,P,B,2,3,PB,1,FAST,20.0503976,0.200503976,3458.315333,5.27705094,2.5,-0.706933384,227,22.7
16,2,N,B,57,67,NB,2,SLOW,20.0503976,0.200503976,3458.315333,5.27705094,62,-0.706933384,227,22.7
16,3,P,Y,2,3,PY,1,FAST,1.8942028,0.018942028,16961.92433,25.88223748,2.5,-0.922085535,227,22.7
16,4,N,Y,27,29,NY,2,SLOW,1.8942028,0.018942028,16961.92433,25.88223748,28,-0.922085535,227,22.7
17,1,P,B,17,20,PB,2,SLOW,9.6536037,0.096536037,5383.808333,8.215164925,18.5,-0.823497844,186,18.6
17,2,N,B,51,58,NB,2,SLOW,9.6536037,0.096536037,5383.808333,8.215164925,54.5,-0.823497844,186,18.6
17,3,P,Y,31,36,PY,2,SLOW,7.1316525,0.071316525,17036.012,25.99528801,33.5,-0.936575051,186,18.6
17,4,N,Y,17,27,NY,2,SLOW,7.1316525,0.071316525,17036.012,25.99528801,22,-0.936575051,186,18.6
18,1,P,B,3,4,PB,1,FAST,24.9288266,0.249288266,4775.267,7.286590372,3.5,-0.758048901,161,16.1
18,2,N,B,29,32,NB,2,SLOW,24.9288266,0.249288266,4775.267,7.286590372,30.5,-0.758048901,161,16.1
18,3,P,Y,1,2,PY,1,FAST,8.6778959,0.086778959,17354.61667,26.48144757,1.5,-0.919286368,161,16.1
18,4,N,Y,29,35,NY,2,SLOW,8.6778959,0.086778959,17354.61667,26.48144757,32,-0.919286368,161,16.1
19,1,P,B,11,22,PB,2,SLOW,16.9373039,0.169373039,5087.962667,7.763733374,16.5,-0.854440085,342,34.2
19,2,N,B,17,40,NB,2,SLOW,16.9373039,0.169373039,5087.962667,7.763733374,28.5,-0.854440085,342,34.2
19,3,P,Y,1,2,PY,1,FAST,3.8521204,0.038521204,17323.04133,26.4332667,1.5,-0.952358562,342,34.2
19,4,N,Y,125,130,NY,2,SLOW,3.8521204,0.038521204,17323.04133,26.4332667,127.5,-0.952358562,342,34.2
20,1,P,B,2,3,PB,1,FAST,9.1023376,0.091023376,2634.940667,4.020661733,2.5,-0.604036411,193,19.3
20,2,N,B,4,6,NB,1,FAST,9.1023376,0.091023376,2634.940667,4.020661733,5,-0.604036411,193,19.3
20,3,P,Y,1,2,PY,1,FAST,14.0671159,0.140671159,16928.77867,25.83166044,1.5,-0.907441373,193,19.3
20,4,N,Y,3,4,NY,1,FAST,14.0671159,0.140671159,16928.77867,25.83166044,3.5,-0.907441373,193,19.3
21,1,P,B,1,2,PB,1,FAST,22.6889111,0.226889111,5231.475,7.982719158,1.5,-0.712145148,160,16
21,2,N,B,2,6,NB,1,FAST,22.6889111,0.226889111,5231.475,7.982719158,4,-0.712145148,160,16
21,3,P,Y,2,3,PY,1,FAST,8.5636314,0.085636314,16739.98733,25.54358333,2.5,-0.887872303,160,16
21,4,N,Y,29,32,NY,2,SLOW,8.5636314,0.085636314,16739.98733,25.54358333,30.5,-0.887872303,160,16
23,1,P,B,4,5,PB,1,FAST,12.0406026,0.120406026,5854.95,8.934081025,4.5,-0.823399079,225.4,22.54
23,2,N,B,2,3,NB,1,FAST,12.0406026,0.120406026,5854.95,8.934081025,2.5,-0.823399079,225.4,22.54
23,3,P,Y,3,4,PY,1,FAST,5.4148758,0.054148758,19018.44233,29.0202828,3.5,-0.938072775,225.4,22.54
23,4,N,Y,3,4,NY,1,FAST,5.4148758,0.054148758,19018.44233,29.0202828,3.5,-0.938072775,225.4,22.54
24,1,P,B,2,3,PB,1,FAST,21.460103,0.21460103,3383.992333,5.163641311,2.5,-0.755296637,180,18
24,2,N,B,1,2,NB,1,FAST,21.460103,0.21460103,3383.992333,5.163641311,1.5,-0.755296637,180,18
24,3,P,Y,2,3,PY,1,FAST,2.0014083,0.020014083,17563.82867,26.80068462,2.5,-0.941263815,180,18
24,4,N,Y,3,14,NY,1,FAST,2.0014083,0.020014083,17563.82867,26.80068462,8.5,-0.941263815,180,18
25,1,P,B,1,3,PB,1,FAST,24.9441758,0.249441758,699.4383333,1.067274484,2,0.12593852,320,32
25,2,N,B,13,16,NB,2,SLOW,24.9441758,0.249441758,699.4383333,1.067274484,14.5,0.12593852,320,32
25,3,P,Y,15,20,PY,2,SLOW,6.9793832,0.069793832,12571.77233,19.18329493,17.5,-0.667325982,320,32
25,4,N,Y,22,28,NY,2,SLOW,6.9793832,0.069793832,12571.77233,19.18329493,25,-0.667325982,320,32
26,1,P,B,8,11,PB,1,FAST,16.0851614,0.160851614,4031.231667,6.151265227,9.5,-0.769387979,273,27.3
26,2,N,B,1,2,NB,1,FAST,16.0851614,0.160851614,4031.231667,6.151265227,1.5,-0.769387979,273,27.3
26,3,P,Y,5,6,PY,1,FAST,6.4747943,0.064747943,17696.802,27.00358892,5.5,-0.936103055,273,27.3
26,4,N,Y,24,27,NY,2,SLOW,6.4747943,0.064747943,17696.802,27.00358892,25.5,-0.936103055,273,27.3
27,1,P,B,8,12,PB,1,FAST,22.85259,0.2285259,4076.117333,6.219756364,10,-0.697512908,236,23.6
27,2,N,B,16,26,NB,2,SLOW,22.85259,0.2285259,4076.117333,6.219756364,21,-0.697512908,236,23.6
27,3,P,Y,3,4,PY,1,FAST,7.9246133,0.079246133,16175.97667,24.68295822,3.5,-0.901512923,236,23.6
27,4,N,Y,155,166,NY,2,SLOW,7.9246133,0.079246133,16175.97667,24.68295822,160.5,-0.901512923,236,23.6
28,1,P,B,8,10,PB,1,FAST,21.6806142,0.216806142,2067.009667,3.154054576,9,-0.600540515,299,29.9
28,2,N,B,20,22,NB,2,SLOW,21.6806142,0.216806142,2067.009667,3.154054576,21,-0.600540515,299,29.9
28,3,P,Y,3,8,PY,1,FAST,10.0171362,0.100171362,18899.603,28.8389456,5.5,-0.932216371,299,29.9
28,4,N,Y,28,35,NY,2,SLOW,10.0171362,0.100171362,18899.603,28.8389456,31.5,-0.932216371,299,29.9
29,1,P,B,10,11,PB,2,SLOW,23.3417825,0.233417825,2819.500667,4.302282241,10.5,-0.553729619,295,29.5
29,2,N,B,9,10,NB,1,FAST,23.3417825,0.233417825,2819.500667,4.302282241,9.5,-0.553729619,295,29.5
29,3,P,Y,1,2,PY,1,FAST,7.0290551,0.070290551,15277.322,23.31169909,1.5,-0.870562584,295,29.5
29,4,N,Y,35,36,NY,2,SLOW,7.0290551,0.070290551,15277.322,23.31169909,35.5,-0.870562584,295,29.5
30,1,P,B,5,6,PB,1,FAST,9.8063154,0.098063154,4696.803667,7.166862999,5.5,-0.8420247,260,26
30,2,N,B,6,8,NB,1,FAST,9.8063154,0.098063154,4696.803667,7.166862999,7,-0.8420247,260,26
30,3,P,Y,1,2,PY,1,FAST,16.7766061,0.167766061,20243.34,30.88935683,1.5,-0.958295477,260,26
30,4,N,Y,18,27,NY,2,SLOW,16.7766061,0.167766061,20243.34,30.88935683,22.5,-0.958295477,260,26
31,1,P,B,22,23,PB,2,SLOW,12.1115439,0.121115439,3545.367333,5.409883777,22.5,-0.65342651,375,37.5
31,2,N,B,44,46,NB,2,SLOW,12.1115439,0.121115439,3545.367333,5.409883777,45,-0.65342651,375,37.5
31,3,P,Y,42,44,PY,2,SLOW,9.3140697,0.093140697,18097.283,27.61468376,43,-0.905896593,375,37.5
31,4,N,Y,16,19,NY,2,SLOW,9.3140697,0.093140697,18097.283,27.61468376,17.5,-0.905896593,375,37.5
32,1,P,B,11,12,PB,2,SLOW,20.6204605,0.206204605,4502.461667,6.870316116,11.5,-0.846039615,370,37
32,2,N,B,31,34,NB,2,SLOW,20.6204605,0.206204605,4502.461667,6.870316116,32.5,-0.846039615,370,37
32,3,P,Y,4,8,PY,1,FAST,5.2359342,0.052359342,16673.681,25.44240635,6,-0.953172153,370,37
32,4,N,Y,46,48,NY,2,SLOW,5.2359342,0.052359342,16673.681,25.44240635,47,-0.953172153,370,37
33,1,P,B,1,2,PB,1,FAST,18.8826967,0.188826967,4388.330667,6.696163373,1.5,-0.683627972,219,21.9
33,2,N,B,5,7,NB,1,FAST,18.8826967,0.188826967,4388.330667,6.696163373,6,-0.683627972,219,21.9
33,3,P,Y,1,2,PY,1,FAST,4.6046301,0.046046301,15455.49333,23.58357112,1.5,-0.883887799,219,21.9
33,4,N,Y,7,11,NY,1,FAST,4.6046301,0.046046301,15455.49333,23.58357112,9,-0.883887799,219,21.9
34,1,P,B,1,2,PB,1,FAST,11.3952151,0.113952151,4292.377,6.549747463,1.5,-0.74428711,349,34.9
34,2,N,B,2,3,NB,1,FAST,11.3952151,0.113952151,4292.377,6.549747463,2.5,-0.74428711,349,34.9
34,3,P,Y,1,2,PY,1,FAST,8.414523,0.08414523,17714.89633,27.0311991,1.5,-0.92316731,349,34.9
34,4,N,Y,46,48,NY,2,SLOW,8.414523,0.08414523,17714.89633,27.0311991,47,-0.92316731,349,34.9
35,1,P,B,2,3,PB,1,FAST,29.2638218,0.292638218,4165.46,6.356084535,2.5,-0.865741441,198,19.8
35,2,N,B,2,3,NB,1,FAST,29.2638218,0.292638218,4165.46,6.356084535,2.5,-0.865741441,198,19.8
35,3,P,Y,1,2,PY,1,FAST,8.4551214,0.084551214,17779.57633,27.12989446,1.5,-0.964950832,198,19.8
35,4,N,Y,2,3,NY,1,FAST,8.4551214,0.084551214,17779.57633,27.12989446,2.5,-0.964950832,198,19.8
36,1,P,B,17,18,PB,2,SLOW,18.4491905,0.184491905,4090.044667,6.241008113,17.5,-0.744514311,279,27.9
36,2,N,B,2,4,NB,1,FAST,18.4491905,0.184491905,4090.044667,6.241008113,3,-0.744514311,279,27.9
36,3,P,Y,2,3,PY,1,FAST,0.4750873,0.004750873,18018.14033,27.49391979,2.5,-0.927753207,279,27.9
36,4,N,Y,28,37,NY,2,SLOW,0.4750873,0.004750873,18018.14033,27.49391979,32.5,-0.927753207,279,27.9
37,1,P,B,1,2,PB,1,FAST,7.3512914,0.073512914,3328.652,5.079197375,1.5,-0.532766664,164,16.4
37,2,N,B,16,17,NB,2,SLOW,7.3512914,0.073512914,3328.652,5.079197375,16.5,-0.532766664,164,16.4
37,3,P,Y,2,6,PY,1,FAST,10.0015296,0.100015296,14417.687,21.99998016,4,-0.831654386,164,16.4
37,4,N,Y,33,35,NY,2,SLOW,10.0015296,0.100015296,14417.687,21.99998016,34,-0.831654386,164,16.4
38,1,P,B,2,4,PB,1,FAST,14.1046312,0.141046312,454.776,0.693943694,3,0.077772035,199,19.9
38,2,N,B,4,7,NB,1,FAST,14.1046312,0.141046312,454.776,0.693943694,5.5,0.077772035,199,19.9
38,3,P,Y,7,8,PY,1,FAST,4.4199761,0.044199761,12745.76867,19.44879632,7.5,-0.66873282,199,19.9
38,4,N,Y,11,17,NY,2,SLOW,4.4199761,0.044199761,12745.76867,19.44879632,14,-0.66873282,199,19.9
40,1,P,B,1,2,PB,1,FAST,17.2158853,0.172158853,4105.451667,6.264517688,1.5,-0.766577628,205,20.5
40,2,N,B,1,2,NB,1,FAST,17.2158853,0.172158853,4105.451667,6.264517688,1.5,-0.766577628,205,20.5
40,3,P,Y,1,2,PY,1,FAST,3.7346981,0.037346981,17901.95233,27.31662826,1.5,-0.934743929,205,20.5
40,4,N,Y,11,15,NY,2,SLOW,3.7346981,0.037346981,17901.95233,27.31662826,13,-0.934743929,205,20.5
41,1,P,B,1,2,PB,1,FAST,10.0153512,0.100153512,6579.852667,10.04021159,1.5,-0.784166881,132,13.2
41,2,N,B,1,2,NB,1,FAST,10.0153512,0.100153512,6579.852667,10.04021159,1.5,-0.784166881,132,13.2
41,3,P,Y,1,3,PY,1,FAST,1.920554,0.01920554,15545.903,23.72152743,2,-0.895673088,132,13.2
41,4,N,Y,5,8,NY,1,FAST,1.920554,0.01920554,15545.903,23.72152743,6.5,-0.895673088,132,13.2
42,1,P,B,1,2,PB,1,FAST,20.2361132,0.202361132,4424.285,6.751026169,1.5,-0.80947215,163,16.3
42,2,N,B,22,27,NB,2,SLOW,20.2361132,0.202361132,4424.285,6.751026169,24.5,-0.80947215,163,16.3
42,3,P,Y,1,2,PY,1,FAST,9.7935585,0.097935585,19847.01,30.28459602,1.5,-0.950158726,163,16.3
42,4,N,Y,1,2,NY,1,FAST,9.7935585,0.097935585,19847.01,30.28459602,1.5,-0.950158726,163,16.3
43,1,P,B,3,4,PB,1,FAST,25.1855842,0.251855842,2174.148667,3.317538211,3.5,-0.446726202,163,16.3
43,2,N,B,19,22,NB,2,SLOW,25.1855842,0.251855842,2174.148667,3.317538211,20.5,-0.446726202,163,16.3
43,3,P,Y,1,2,PY,1,FAST,3.3995469,0.033995469,18889.134,28.82297093,1.5,-0.875297463,163,16.3
43,4,N,Y,8,11,NY,1,FAST,3.3995469,0.033995469,18889.134,28.82297093,9.5,-0.875297463,163,16.3
45,1,P,B,1,2,PB,1,FAST,2.5284814,0.025284814,4423.79,6.750270848,1.5,-0.694586061,128,12.8
45,2,N,B,14,16,NB,2,SLOW,2.5284814,0.025284814,4423.79,6.750270848,15,-0.694586061,128,12.8
45,3,P,Y,1,2,PY,1,FAST,13.8572043,0.138572043,15733.51167,24.0077999,1.5,-0.889990628,128,12.8
45,4,N,Y,8,10,NY,1,FAST,13.8572043,0.138572043,15733.51167,24.0077999,9,-0.889990628,128,12.8
46,1,P,B,3,4,PB,1,FAST,16.7744418,0.167744418,2241.756667,3.420701406,3.5,0.417180428,127,12.7
46,2,N,B,2,3,NB,1,FAST,16.7744418,0.167744418,2241.756667,3.420701406,2.5,0.417180428,127,12.7
46,3,P,Y,1,2,PY,1,FAST,2.8365466,0.028365466,12939.95867,19.74511126,1.5,-0.629427553,127,12.7
46,4,N,Y,10,27,NY,2,SLOW,2.8365466,0.028365466,12939.95867,19.74511126,18.5,-0.629427553,127,12.7
47,1,P,B,1,2,PB,1,FAST,20.3280514,0.203280514,4429.787667,6.7594227,1.5,0.931271289,114,11.4
47,2,N,B,1,3,NB,1,FAST,20.3280514,0.203280514,4429.787667,6.7594227,2,0.931271289,114,11.4
47,3,P,Y,1,2,PY,1,FAST,1.6841969,0.016841969,10957.233,16.71966583,1.5,-0.543901794,114,11.4
47,4,N,Y,3,4,NY,1,FAST,1.6841969,0.016841969,10957.233,16.71966583,3.5,-0.543901794,114,11.4
49,1,P,B,1,2,PB,1,FAST,19.3584402,0.193584402,3398.322333,5.18550749,1.5,-0.830723744,202,20.2
49,2,N,B,42,44,NB,2,SLOW,19.3584402,0.193584402,3398.322333,5.18550749,43,-0.830723744,202,20.2
49,3,P,Y,1,2,PY,1,FAST,2.3641285,0.023641285,17214.97267,26.26836449,1.5,-0.961340833,202,20.2
49,4,N,Y,4,5,NY,1,FAST,2.3641285,0.023641285,17214.97267,26.26836449,4.5,-0.961340833,202,20.2
50,1,P,B,1,2,PB,1,FAST,12.6775263,0.126775263,2698.533667,4.117698431,1.5,-0.535666007,267,26.7
50,2,N,B,2,8,NB,1,FAST,12.6775263,0.126775263,2698.533667,4.117698431,5,-0.535666007,267,26.7
50,3,P,Y,1,2,PY,1,FAST,6.3687001,0.063687001,11858.71767,18.09524325,1.5,-0.835287952,267,26.7
50,4,N,Y,2,3,NY,1,FAST,6.3687001,0.063687001,11858.71767,18.09524325,2.5,-0.835287952,267,26.7
51,1,P,B,1,2,PB,1,FAST,11.8100376,0.118100376,2503.056,3.819418631,1.5,-0.529616433,129,12.9
51,2,N,B,20,21,NB,2,SLOW,11.8100376,0.118100376,2503.056,3.819418631,20.5,-0.529616433,129,12.9
51,3,P,Y,2,3,PY,1,FAST,8.0878736,0.080878736,12877.48,19.64977493,2.5,-0.852822372,129,12.9
51,4,N,Y,1,2,NY,1,FAST,8.0878736,0.080878736,12877.48,19.64977493,1.5,-0.852822372,129,12.9
52,1,P,B,2,3,PB,1,FAST,23.2581212,0.232581212,2584.859333,3.944242517,2.5,-0.622383843,221,22.1
52,2,N,B,2,6,NB,1,FAST,23.2581212,0.232581212,2584.859333,3.944242517,4,-0.622383843,221,22.1
52,3,P,Y,1,2,PY,1,FAST,4.9756934,0.049756934,10212.60933,15.58344294,1.5,-0.866920497,221,22.1
52,4,N,Y,5,6,NY,1,FAST,4.9756934,0.049756934,10212.60933,15.58344294,5.5,-0.866920497,221,22.1
53,1,P,B,1,2,PB,1,FAST,23.3211544,0.233211544,1349.337,2.058956283,1.5,-0.353586175,205,20.5
53,2,N,B,80,82,NB,2,SLOW,23.3211544,0.233211544,1349.337,2.058956283,81,-0.353586175,205,20.5
53,3,P,Y,1,2,PY,1,FAST,3.6090631,0.036090631,15744.63333,24.02477048,1.5,-0.864624504,205,20.5
53,4,N,Y,84,89,NY,2,SLOW,3.6090631,0.036090631,15744.63333,24.02477048,86.5,-0.864624504,205,20.5
54,1,P,B,1,2,PB,1,FAST,10.8532685,0.108532685,2265.169667,3.456427354,1.5,-0.439567859,295,29.5
54,2,N,B,1,2,NB,1,FAST,10.8532685,0.108532685,2265.169667,3.456427354,1.5,-0.439567859,295,29.5
54,3,P,Y,1,2,PY,1,FAST,8.2583317,0.082583317,9572.401667,14.60654866,1.5,-0.768289964,295,29.5
54,4,N,Y,1,4,NY,1,FAST,8.2583317,0.082583317,9572.401667,14.60654866,2.5,-0.768289964,295,29.5
55,1,P,B,2,3,PB,1,FAST,13.8000468,0.138000468,1535.916667,2.343658605,2.5,-0.343378691,142,14.2
55,2,N,B,1,2,NB,1,FAST,13.8000468,0.138000468,1535.916667,2.343658605,1.5,-0.343378691,142,14.2
55,3,P,Y,2,4,PY,1,FAST,7.4837533,0.074837533,8068.489333,12.31172554,3,-0.733235061,142,14.2
55,4,N,Y,1,2,NY,1,FAST,7.4837533,0.074837533,8068.489333,12.31172554,1.5,-0.733235061,142,14.2
56,1,P,B,3,8,PB,1,FAST,11.9265896,0.119265896,2981.089,4.548850233,5.5,-0.657176367,250,25
56,2,N,B,20,24,NB,2,SLOW,11.9265896,0.119265896,2981.089,4.548850233,22,-0.657176367,250,25
56,3,P,Y,2,8,PY,1,FAST,8.5453582,0.085453582,9655.636333,14.73355662,5,-0.86131834,250,25
56,4,N,Y,3,6,NY,1,FAST,8.5453582,0.085453582,9655.636333,14.73355662,4.5,-0.86131834,250,25
57,1,P,B,1,3,PB,1,FAST,23.8109431,0.238109431,1589.271667,2.425073116,2,-0.35473491,132,13.2
57,2,N,B,1,2,NB,1,FAST,23.8109431,0.238109431,1589.271667,2.425073116,1.5,-0.35473491,132,13.2
57,3,P,Y,3,4,PY,1,FAST,5.1509207,0.051509207,15417.07167,23.52494341,3.5,-0.842183073,132,13.2
57,4,N,Y,15,16,NY,2,SLOW,5.1509207,0.051509207,15417.07167,23.52494341,15.5,-0.842183073,132,13.2
58,1,P,B,11,13,PB,2,SLOW,16.3012994,0.163012994,1719.283667,2.623458712,12,-0.374002202,270,27
58,2,N,B,180,190,NB,2,SLOW,16.3012994,0.163012994,1719.283667,2.623458712,185,-0.374002202,270,27
58,3,P,Y,1,2,PY,1,FAST,3.8446007,0.038446007,7774.618,11.86330663,1.5,-0.729955932,270,27
58,4,N,Y,98,100,NY,2,SLOW,3.8446007,0.038446007,7774.618,11.86330663,99,-0.729955932,270,27
59,1,P,B,1,2,PB,1,FAST,8.4720457,0.084720457,2272.030333,3.466896061,1.5,-0.461861272,126,12.6
59,2,N,B,1,2,NB,1,FAST,8.4720457,0.084720457,2272.030333,3.466896061,1.5,-0.461861272,126,12.6
59,3,P,Y,2,7,PY,1,FAST,11.8306479,0.118306479,8707.901,13.2874052,4.5,-0.766931268,126,12.6
59,4,N,Y,153,155,NY,2,SLOW,11.8306479,0.118306479,8707.901,13.2874052,154,-0.766931268,126,12.6
60,1,P,B,1,2,PB,1,FAST,18.7876407,0.187876407,7635.327,11.65076219,1.5,1.95018925,244,24.4
60,2,N,B,18,24,NB,2,SLOW,18.7876407,0.187876407,7635.327,11.65076219,21,1.95018925,244,24.4
60,3,P,Y,2,3,PY,1,FAST,2.6130109,0.026130109,3773.884667,5.758578876,2.5,-0.246272126,244,24.4
60,4,N,Y,34,36,NY,2,SLOW,2.6130109,0.026130109,3773.884667,5.758578876,35,-0.246272126,244,24.4
61,1,P,B,52,55,PB,2,SLOW,26.2683218,0.262683218,7.569,0.011549554,53.5,0.001835278,351,35.1
61,2,N,B,264,266,NB,2,SLOW,26.2683218,0.262683218,7.569,0.011549554,265,0.001835278,351,35.1
61,3,P,Y,31,35,PY,2,SLOW,9.5961968,0.095961968,11562.42333,17.64312708,33,-0.704228068,351,35.1
61,4,N,Y,26,0,NY,2,SLOW,9.5961968,0.095961968,11562.42333,17.64312708,13,-0.704228068,351,35.1
62,1,P,B,1,2,PB,1,FAST,12.7864977,0.127864977,2069.695,3.158152132,1.5,-0.444205038,250,25
62,2,N,B,85,88,NB,2,SLOW,12.7864977,0.127864977,2069.695,3.158152132,86.5,-0.444205038,250,25
62,3,P,Y,1,2,PY,1,FAST,6.4208448,0.064208448,14701.84833,22.43358256,1.5,-0.850285393,250,25
62,4,N,Y,20,22,NY,2,SLOW,6.4208448,0.064208448,14701.84833,22.43358256,21,-0.850285393,250,25
63,1,P,B,1,2,PB,1,FAST,13.2770767,0.132770767,2054.177,3.134473182,1.5,-0.443286597,128,12.8
63,2,N,B,2,3,NB,1,FAST,13.2770767,0.132770767,2054.177,3.134473182,2.5,-0.443286597,128,12.8
63,3,P,Y,1,2,PY,1,FAST,6.6868315,0.066868315,8421.404667,12.85023982,1.5,-0.765575599,128,12.8
63,4,N,Y,1,2,NY,1,FAST,6.6868315,0.066868315,8421.404667,12.85023982,1.5,-0.765575599,128,12.8
64,1,P,B,15,16,PB,2,SLOW,21.4347748,0.214347748,5186.033,7.91337911,15.5,1.418474179,159,15.9
