Individual,Trial,Predator,Circle,Initial ,Total ,Treatment,Scale Time,EscapeResponse,ColourDiffPercent,Colour Diff,Brightness D,Brightness.DifferencePercent,Avg Time,Weber Contrast,Length,Size
130,3,P,Y,2,3,PY,1,FAST,10.8355735,0.108355735,16094.23267,24.55822487,2.5,-0.923387607,167,16.7
130,4,N,Y,43,44,NY,2,SLOW,10.8355735,0.108355735,16094.23267,24.55822487,43.5,-0.923387607,167,16.7
131,1,P,B,2,3,PB,1,FAST,23.33024,0.2333024,223.805,0.34150454,2.5,0.048922536,139,13.9
131,2,N,B,11,12,NB,2,SLOW,23.33024,0.2333024,223.805,0.34150454,11.5,0.048922536,139,13.9
131,3,P,Y,1,2,PY,1,FAST,3.8528128,0.038528128,11938.316,18.21670253,1.5,-0.712321051,139,13.9
131,4,N,Y,38,40,NY,2,SLOW,3.8528128,0.038528128,11938.316,18.21670253,39,-0.712321051,139,13.9
132,1,P,B,1,2,PB,1,FAST,13.3406576,0.133406576,3321.31,5.067994202,1.5,-0.807672546,117,11.7
132,2,N,B,1,3,NB,1,FAST,13.3406576,0.133406576,3321.31,5.067994202,2,-0.807672546,117,11.7
132,3,P,Y,1,2,PY,1,FAST,8.7827405,0.087827405,16957.65567,25.87572391,1.5,-0.955451061,117,11.7
132,4,N,Y,1,2,NY,1,FAST,8.7827405,0.087827405,16957.65567,25.87572391,1.5,-0.955451061,117,11.7
133,1,P,B,1,5,PB,1,FAST,21.4109942,0.214109942,4014.827333,6.126233819,3,-0.829346362,181,18.1
133,2,N,B,123,124,NB,2,SLOW,21.4109942,0.214109942,4014.827333,6.126233819,123.5,-0.829346362,181,18.1
133,3,P,Y,2,21,PY,2,SLOW,4.1307994,0.041307994,16236.39933,24.7751573,11.5,-0.951594242,181,18.1
133,4,N,Y,1,2,NY,1,FAST,4.1307994,0.041307994,16236.39933,24.7751573,1.5,-0.951594242,181,18.1
134,1,P,B,1,2,PB,1,FAST,18.6022099,0.186022099,3084.655667,4.706882836,1.5,-0.80061918,196,19.6
134,2,N,B,240,241,NB,2,SLOW,18.6022099,0.186022099,3084.655667,4.706882836,240.5,-0.80061918,196,19.6
134,3,P,Y,1,2,PY,1,FAST,7.3830877,0.073830877,15782.294,24.08223697,1.5,-0.953599657,196,19.6
134,4,N,Y,32,33,NY,2,SLOW,7.3830877,0.073830877,15782.294,24.08223697,32.5,-0.953599657,196,19.6
135,1,P,B,1,11,PB,1,FAST,25.6217706,0.256217706,6483.661333,9.893433026,6,2.081812561,117,11.7
135,2,N,B,17,18,NB,2,SLOW,25.6217706,0.256217706,6483.661333,9.893433026,17.5,2.081812561,117,11.7
135,3,P,Y,1,2,PY,1,FAST,3.6843332,0.036843332,7065.512667,10.78128125,1.5,-0.424001789,117,11.7
135,4,N,Y,2,3,NY,1,FAST,3.6843332,0.036843332,7065.512667,10.78128125,2.5,-0.424001789,117,11.7
137,1,P,B,1,2,PB,1,FAST,15.4303582,0.154303582,2746.921,4.191532769,1.5,-0.562953556,139,13.9
137,2,N,B,1,2,NB,1,FAST,15.4303582,0.154303582,2746.921,4.191532769,1.5,-0.562953556,139,13.9
137,3,P,Y,2,3,PY,1,FAST,4.3062982,0.043062982,14190.81667,21.65379822,2.5,-0.869393803,139,13.9
137,4,N,Y,1,2,NY,1,FAST,4.3062982,0.043062982,14190.81667,21.65379822,1.5,-0.869393803,139,13.9
139,1,P,B,1,2,PB,1,FAST,19.280214,0.19280214,1890.724,2.885059892,1.5,-0.318694966,138,13.8
139,2,N,B,23,26,NB,2,SLOW,19.280214,0.19280214,1890.724,2.885059892,24.5,-0.318694966,138,13.8
139,3,P,Y,2,3,PY,1,FAST,2.885612,0.02885612,13331.931,20.34322271,2.5,-0.767465987,138,13.8
139,4,N,Y,19,22,NY,2,SLOW,2.885612,0.02885612,13331.931,20.34322271,20.5,-0.767465987,138,13.8
140,1,P,B,1,2,PB,1,FAST,20.8604689,0.208604689,3442.387333,5.25274637,1.5,-0.842674922,167,16.7
140,2,N,B,18,20,NB,2,SLOW,20.8604689,0.208604689,3442.387333,5.25274637,19,-0.842674922,167,16.7
140,3,P,Y,1,3,PY,1,FAST,11.3139385,0.113139385,17549.508,26.77883268,2,-0.964682241,167,16.7
140,4,N,Y,7,9,NY,1,FAST,11.3139385,0.113139385,17549.508,26.77883268,8,-0.964682241,167,16.7
141,1,P,B,1,2,PB,1,FAST,15.4891581,0.154891581,2963.205,4.521560998,1.5,-0.662398529,141,14.1
141,2,N,B,1,2,NB,1,FAST,15.4891581,0.154891581,2963.205,4.521560998,1.5,-0.662398529,141,14.1
141,3,P,Y,2,4,PY,1,FAST,4.4865445,0.044865445,14906.85467,22.74640218,3,-0.908034179,141,14.1
141,4,N,Y,1,2,NY,1,FAST,4.4865445,0.044865445,14906.85467,22.74640218,1.5,-0.908034179,141,14.1
142,1,P,B,1,2,PB,1,FAST,4.6128107,0.046128107,4454.789667,6.797573307,1.5,-0.93044278,134,13.4
142,2,N,B,18,19,NB,2,SLOW,4.6128107,0.046128107,4454.789667,6.797573307,18.5,-0.93044278,134,13.4
142,3,P,Y,1,2,PY,1,FAST,17.406231,0.17406231,14791.43233,22.57027899,1.5,-0.977985764,134,13.4
142,4,N,Y,1,2,NY,1,FAST,17.406231,0.17406231,14791.43233,22.57027899,1.5,-0.977985764,134,13.4
143,1,P,B,82,109,PB,2,SLOW,14.5430725,0.145430725,2317.112667,3.535687292,95.5,-0.490944572,139,13.9
143,2,N,B,59,0,NB,2,SLOW,14.5430725,0.145430725,2317.112667,3.535687292,29.5,-0.490944572,139,13.9
143,3,P,Y,2,53,PY,2,SLOW,4.0499397,0.040499397,17569.738,26.80970169,27.5,-0.879744018,139,13.9
143,4,N,Y,2,0,NY,1,FAST,4.0499397,0.040499397,17569.738,26.80970169,1,-0.879744018,139,13.9
144,1,P,B,8,10,PB,1,FAST,19.5292022,0.195292022,1569.58,2.395025559,9,-0.388301334,249,24.9
144,2,N,B,10,12,NB,2,SLOW,19.5292022,0.195292022,1569.58,2.395025559,11,-0.388301334,249,24.9
144,3,P,Y,2,6,PY,1,FAST,2.5936662,0.025936662,10810.404,16.49561913,4,-0.813942628,249,24.9
144,4,N,Y,17,18,NY,2,SLOW,2.5936662,0.025936662,10810.404,16.49561913,17.5,-0.813942628,249,24.9
145,1,P,B,20,22,PB,2,SLOW,7.1382058,0.071382058,4657.36,7.106675822,21,-0.785649555,287,28.7
145,2,N,B,221,224,NB,2,SLOW,7.1382058,0.071382058,4657.36,7.106675822,222.5,-0.785649555,287,28.7
145,3,P,Y,1,2,PY,1,FAST,9.8724008,0.098724008,16392.21433,25.01291574,1.5,-0.928072648,287,28.7
145,4,N,Y,248,253,NY,2,SLOW,9.8724008,0.098724008,16392.21433,25.01291574,250.5,-0.928072648,287,28.7
146,1,P,B,4,22,PB,2,SLOW,25.1178187,0.251178187,1733.832667,2.645659063,13,-0.437759119,544,54.4
146,2,N,B,39,53,NB,2,SLOW,25.1178187,0.251178187,1733.832667,2.645659063,46,-0.437759119,544,54.4
146,3,P,Y,1,2,PY,1,FAST,4.1960275,0.041960275,15917.946,24.28922866,1.5,-0.877334597,544,54.4
146,4,N,Y,3,6,NY,1,FAST,4.1960275,0.041960275,15917.946,24.28922866,4.5,-0.877334597,544,54.4
147,1,P,B,65,69,PB,2,SLOW,14.6140287,0.146140287,3469.428667,5.294008799,67,-0.754852518,237,23.7
147,2,N,B,0,0,NB,3,SLOW,14.6140287,0.146140287,3469.428667,5.294008799,0,-0.754852518,237,23.7
147,3,P,Y,1,4,PY,1,FAST,7.3287618,0.073287618,15998.463,24.41208972,2.5,-0.934223445,237,23.7
147,4,N,Y,155,0,NY,2,SLOW,7.3287618,0.073287618,15998.463,24.41208972,77.5,-0.934223445,237,23.7
148,1,P,B,3,4,PB,1,FAST,24.1306967,0.241306967,2640.485667,4.029122861,3.5,-0.733925383,204,20.4
148,2,N,B,300,303,NB,2,SLOW,24.1306967,0.241306967,2640.485667,4.029122861,301.5,-0.733925383,204,20.4
148,3,P,Y,4,5,PY,1,FAST,1.6950111,0.016950111,10373.04433,15.82825106,4.5,-0.915538876,204,20.4
148,4,N,Y,50,55,NY,2,SLOW,1.6950111,0.016950111,10373.04433,15.82825106,52.5,-0.915538876,204,20.4
149,1,P,B,1,2,PB,1,FAST,17.2201013,0.172201013,4324.653,6.598997482,1.5,-0.777891678,172,17.2
149,2,N,B,8,13,NB,2,SLOW,17.2201013,0.172201013,4324.653,6.598997482,10.5,-0.777891678,172,17.2
149,3,P,Y,1,2,PY,1,FAST,3.8605122,0.038605122,16585.96267,25.30855675,1.5,-0.930724489,172,17.2
149,4,N,Y,5,6,NY,1,FAST,3.8605122,0.038605122,16585.96267,25.30855675,5.5,-0.930724489,172,17.2
150,1,P,B,1,2,PB,1,FAST,15.4327567,0.154327567,3040.379333,4.639321482,1.5,-0.658381879,250,25
150,2,N,B,60,64,NB,2,SLOW,15.4327567,0.154327567,3040.379333,4.639321482,62,-0.658381879,250,25
150,3,P,Y,1,2,PY,1,FAST,7.2798633,0.072798633,15370.958,23.45457847,1.5,-0.906948062,250,25
150,4,N,Y,3,14,NY,1,FAST,7.2798633,0.072798633,15370.958,23.45457847,8.5,-0.906948062,250,25
151,1,P,B,43,44,PB,2,SLOW,13.3367589,0.133367589,1435.906,2.19105211,43.5,-0.356076253,195,19.5
151,2,N,B,84,92,NB,2,SLOW,13.3367589,0.133367589,1435.906,2.19105211,88,-0.356076253,195,19.5
151,3,P,Y,3,12,PY,1,FAST,9.3529424,0.093529424,9491.838333,14.4836169,7.5,-0.785283329,195,19.5
151,4,N,Y,280,284,NY,2,SLOW,9.3529424,0.093529424,9491.838333,14.4836169,282,-0.785283329,195,19.5
152,1,P,B,12,13,PB,2,SLOW,18.74648,0.1874648,1799.084667,2.745227232,12.5,-0.430589615,166,16.6
152,2,N,B,21,24,NB,2,SLOW,18.74648,0.1874648,1799.084667,2.745227232,22.5,-0.430589615,166,16.6
152,3,P,Y,3,4,PY,1,FAST,3.9361386,0.039361386,12067.18433,18.413343,3.5,-0.835382346,166,16.6
152,4,N,Y,0,0,NY,3,SLOW,3.9361386,0.039361386,12067.18433,18.413343,0,-0.835382346,166,16.6
153,1,P,B,3,4,PB,1,FAST,13.7319868,0.137319868,443.884,0.677323568,3.5,0.124778438,154,15.4
153,2,N,B,5,13,NB,1,FAST,13.7319868,0.137319868,443.884,0.677323568,9,0.124778438,154,15.4
153,3,P,Y,1,2,PY,1,FAST,9.5539332,0.095539332,7495.673667,11.43766486,1.5,-0.651764813,154,15.4
153,4,N,Y,6,10,NY,1,FAST,9.5539332,0.095539332,7495.673667,11.43766486,8,-0.651764813,154,15.4
154,1,P,B,16,18,PB,2,SLOW,13.9319435,0.139319435,4978.225333,7.596284937,17,-0.836572705,180,18
154,2,N,B,7,19,NB,2,SLOW,13.9319435,0.139319435,4978.225333,7.596284937,13,-0.836572705,180,18
154,3,P,Y,1,2,PY,1,FAST,4.5072562,0.045072562,16392.01667,25.01261412,1.5,-0.944004913,180,18
154,4,N,Y,2,5,NY,1,FAST,4.5072562,0.045072562,16392.01667,25.01261412,3.5,-0.944004913,180,18
155,1,P,B,1,2,PB,1,FAST,27.866583,0.27866583,2062.654,3.147408255,1.5,-0.441378959,146,14.6
155,2,N,B,74,82,NB,2,SLOW,27.866583,0.27866583,2062.654,3.147408255,78,-0.441378959,146,14.6
155,3,P,Y,1,2,PY,1,FAST,5.2269201,0.052269201,11108.67633,16.95075354,1.5,-0.809815017,146,14.6
155,4,N,Y,4,8,NY,1,FAST,5.2269201,0.052269201,11108.67633,16.95075354,6,-0.809815017,146,14.6
156,1,P,B,3,4,PB,1,FAST,13.2333809,0.132333809,1505.553667,2.297327637,3.5,-0.421450138,139,13.9
156,2,N,B,201,209,NB,2,SLOW,13.2333809,0.132333809,1505.553667,2.297327637,205,-0.421450138,139,13.9
156,3,P,Y,21,22,PY,2,SLOW,8.4170109,0.084170109,9137.849,13.9434638,21.5,-0.815609608,139,13.9
156,4,N,Y,0,0,NY,3,SLOW,8.4170109,0.084170109,9137.849,13.9434638,0,-0.815609608,139,13.9
157,1,P,B,1,2,PB,1,FAST,20.1567214,0.201567214,719.67,1.098146029,1.5,-0.206332445,174,17.4
157,2,N,B,6,10,NB,1,FAST,20.1567214,0.201567214,719.67,1.098146029,8,-0.206332445,174,17.4
157,3,P,Y,2,4,PY,1,FAST,4.1040891,0.041040891,8710.349333,13.29114112,3,-0.759030824,174,17.4
157,4,N,Y,25,26,NY,2,SLOW,4.1040891,0.041040891,8710.349333,13.29114112,25.5,-0.759030824,174,17.4
158,1,P,B,11,13,PB,2,SLOW,10.913281,0.10913281,4599.938,7.019055467,12,-0.789204654,131,13.1
158,2,N,B,55,57,NB,2,SLOW,10.913281,0.10913281,4599.938,7.019055467,56,-0.789204654,131,13.1
158,3,P,Y,11,13,PY,2,SLOW,5.743593,0.05743593,16171.597,24.67627527,12,-0.929403218,131,13.1
158,4,N,Y,5,8,NY,1,FAST,5.743593,0.05743593,16171.597,24.67627527,6.5,-0.929403218,131,13.1
159,1,P,B,1,2,PB,1,FAST,10.8061471,0.108061471,1861.811,2.840941482,1.5,-0.424050594,248,24.8
159,2,N,B,213,255,NB,2,SLOW,10.8061471,0.108061471,1861.811,2.840941482,234,-0.424050594,248,24.8
159,3,P,Y,1,2,PY,1,FAST,14.7243376,0.147243376,9501.723,14.49869993,1.5,-0.789882325,248,24.8
159,4,N,Y,5,42,NY,2,SLOW,14.7243376,0.147243376,9501.723,14.49869993,23.5,-0.789882325,248,24.8
160,1,P,B,2,3,PB,1,FAST,8.2088868,0.082088868,1883.921,2.874679179,2.5,-0.509545803,130,13
160,2,N,B,6,31,NB,2,SLOW,8.2088868,0.082088868,1883.921,2.874679179,18.5,-0.509545803,130,13
160,3,P,Y,1,3,PY,1,FAST,11.9998216,0.119998216,9919.949333,15.13687241,2,-0.845496623,130,13
160,4,N,Y,9,23,NY,2,SLOW,11.9998216,0.119998216,9919.949333,15.13687241,16,-0.845496623,130,13
