Individual,Trial,Predator,Circle,Initial,Total,Treatment,ColourDifference ,Brightness,Scale Time,Pattern Scale,Avg time,EscapeResponse,ColourDiffPercent,ColourDiff,Brightness.DifferencePercent,Brightness.Difference,Length,Size
31,3,F,B,9,18,FB,0.270263454,1338.833667,2,4,13.5,SLOW,27.0263454,0.270263454,2.0509094,0.020509094,182,18.2
31,4,N,Y,7,8,NY,0.077980394,17546.573,1,4,7.5,SLOW,7.7980394,0.077980394,26.8789415,0.268789415,182,18.2
31,5,B,Y,3,4,BY,0.077980394,17546.573,1,4,3.5,FAST,7.7980394,0.077980394,26.8789415,0.268789415,182,18.2
31,6,F,Y,2,3,FY,0.077980394,17546.573,1,4,2.5,FAST,7.7980394,0.077980394,26.8789415,0.268789415,182,18.2
32,1,N,B,8,18,NB,0.221441778,783.8153333,2,2,13,SLOW,22.1441778,0.221441778,1.2006975,0.012006975,158,15.8
32,2,B,B,3,4,BB,0.221441778,783.8153333,1,2,3.5,FAST,22.1441778,0.221441778,1.2006975,0.012006975,158,15.8
32,3,F,B,11,24,FB,0.221441778,783.8153333,2,2,17.5,SLOW,22.1441778,0.221441778,1.2006975,0.012006975,158,15.8
32,4,N,Y,3,5,NY,0.020012442,15554.62467,1,2,4,FAST,2.0012442,0.020012442,23.82755,0.2382755,158,15.8
32,5,B,Y,3,4,BY,0.020012442,15554.62467,1,2,3.5,FAST,2.0012442,0.020012442,23.82755,0.2382755,158,15.8
32,6,F,Y,17,21,FY,0.020012442,15554.62467,2,2,19,SLOW,2.0012442,0.020012442,23.82755,0.2382755,158,15.8
34,1,N,B,2,3,NB,0.248205075,2159.306667,1,2,2.5,FAST,24.8205075,0.248205075,3.3077614,0.033077614,113,11.3
34,2,B,B,1,2,BB,0.248205075,2159.306667,1,2,1.5,FAST,24.8205075,0.248205075,3.3077614,0.033077614,113,11.3
34,3,F,B,4,7,FB,0.248205075,2159.306667,1,2,5.5,SLOW,24.8205075,0.248205075,3.3077614,0.033077614,113,11.3
34,4,N,Y,2,3,NY,0.024819242,16914.5,1,2,2.5,FAST,2.4819242,0.024819242,25.9106924,0.259106924,113,11.3
34,5,B,Y,4,8,BY,0.024819242,16914.5,1,2,6,SLOW,2.4819242,0.024819242,25.9106924,0.259106924,113,11.3
34,6,F,Y,2,3,FY,0.024819242,16914.5,1,2,2.5,FAST,2.4819242,0.024819242,25.9106924,0.259106924,113,11.3
35,1,N,B,2,3,NB,0.296343274,1668.609333,1,4,2.5,FAST,29.6343274,0.296343274,2.5560805,0.025560805,131,13.1
35,2,B,B,3,4,BB,0.296343274,1668.609333,1,4,3.5,FAST,29.6343274,0.296343274,2.5560805,0.025560805,131,13.1
35,3,F,B,2,3,FB,0.296343274,1668.609333,1,4,2.5,FAST,29.6343274,0.296343274,2.5560805,0.025560805,131,13.1
35,4,N,Y,3,6,NY,0.045180148,16841.835,1,4,4.5,FAST,4.5180148,0.045180148,25.7993796,0.257993796,131,13.1
35,5,B,Y,2,3,BY,0.045180148,16841.835,1,4,2.5,FAST,4.5180148,0.045180148,25.7993796,0.257993796,131,13.1
35,6,F,Y,4,5,FY,0.045180148,16841.835,1,4,4.5,FAST,4.5180148,0.045180148,25.7993796,0.257993796,131,13.1
36,1,N,B,3,8,NB,0.188763752,508.7713333,1,2,5.5,SLOW,18.8763752,0.188763752,0.7793679,0.007793679,377,37.7
36,2,B,B,2,3,BB,0.188763752,508.7713333,1,2,2.5,FAST,18.8763752,0.188763752,0.7793679,0.007793679,377,37.7
36,3,F,B,17,19,FB,0.188763752,508.7713333,2,2,18,SLOW,18.8763752,0.188763752,0.7793679,0.007793679,377,37.7
36,4,N,Y,2,8,NY,0.020646849,11168.705,1,2,5,SLOW,2.0646849,0.020646849,17.1089231,0.171089231,377,37.7
36,5,B,Y,3,4,BY,0.020646849,11168.705,1,2,3.5,FAST,2.0646849,0.020646849,17.1089231,0.171089231,377,37.7
36,6,F,Y,4,7,FY,0.020646849,11168.705,1,2,5.5,SLOW,2.0646849,0.020646849,17.1089231,0.171089231,377,37.7
37,1,N,B,179,180,NB,0.171432723,1216.080667,2,2,179.5,SLOW,17.1432723,0.171432723,1.8628687,0.018628687,299,29.9
37,2,B,B,3,4,BB,0.171432723,1216.080667,1,2,3.5,FAST,17.1432723,0.171432723,1.8628687,0.018628687,299,29.9
37,3,F,B,2,3,FB,0.171432723,1216.080667,1,2,2.5,FAST,17.1432723,0.171432723,1.8628687,0.018628687,299,29.9
37,4,N,Y,3,4,NY,0.033438837,13810.04667,1,2,3.5,FAST,3.3438837,0.033438837,21.155096,0.21155096,299,29.9
37,5,B,Y,2,3,BY,0.033438837,13810.04667,1,2,2.5,FAST,3.3438837,0.033438837,21.155096,0.21155096,299,29.9
37,6,F,Y,1,2,FY,0.033438837,13810.04667,1,2,1.5,FAST,3.3438837,0.033438837,21.155096,0.21155096,299,29.9
38,1,N,B,10,11,NB,0.190297124,58.92433333,2,1,10.5,SLOW,19.0297124,0.190297124,0.090264,0.00090264,114,11.4
38,2,B,B,3,7,BB,0.190297124,58.92433333,1,1,5,SLOW,19.0297124,0.190297124,0.090264,0.00090264,114,11.4
38,3,F,B,13,14,FB,0.190297124,58.92433333,2,1,13.5,SLOW,19.0297124,0.190297124,0.090264,0.00090264,114,11.4
38,4,N,Y,57,58,NY,0.014441479,13512.96367,2,1,57.5,SLOW,1.4441479,0.014441479,20.7000056,0.207000056,114,11.4
38,5,B,Y,4,12,BY,0.014441479,13512.96367,1,1,8,SLOW,1.4441479,0.014441479,20.7000056,0.207000056,114,11.4
38,6,F,Y,29,44,FY,0.014441479,13512.96367,2,1,36.5,SLOW,1.4441479,0.014441479,20.7000056,0.207000056,114,11.4
39,1,N,B,14,15,NB,0.158830519,1421.308,2,1,14.5,SLOW,15.8830519,0.158830519,2.1772488,0.021772488,204,20.4
39,2,B,B,3,4,BB,0.158830519,1421.308,1,1,3.5,FAST,15.8830519,0.158830519,2.1772488,0.021772488,204,20.4
39,3,F,B,10,17,FB,0.158830519,1421.308,2,1,13.5,SLOW,15.8830519,0.158830519,2.1772488,0.021772488,204,20.4
39,4,N,Y,5,6,NY,0.044483095,15002.974,1,1,5.5,SLOW,4.4483095,0.044483095,22.9824969,0.229824969,204,20.4
39,5,B,Y,3,12,BY,0.044483095,15002.974,1,1,7.5,SLOW,4.4483095,0.044483095,22.9824969,0.229824969,204,20.4
39,6,F,Y,4,5,FY,0.044483095,15002.974,1,1,4.5,FAST,4.4483095,0.044483095,22.9824969,0.229824969,204,20.4
40,1,N,B,15,16,NB,0.186679082,2925.774667,2,2,15.5,SLOW,18.6679082,0.186679082,4.4818852,0.044818852,361,36.1
40,2,B,B,2,3,BB,0.186679082,2925.774667,1,2,2.5,FAST,18.6679082,0.186679082,4.4818852,0.044818852,361,36.1
40,3,F,B,6,8,FB,0.186679082,2925.774667,1,2,7,SLOW,18.6679082,0.186679082,4.4818852,0.044818852,361,36.1
40,4,N,Y,4,5,NY,0.028646193,15907.85133,1,2,4.5,FAST,2.8646193,0.028646193,24.3686448,0.243686448,361,36.1
40,5,B,Y,2,3,BY,0.028646193,15907.85133,1,2,2.5,FAST,2.8646193,0.028646193,24.3686448,0.243686448,361,36.1
40,6,F,Y,8,10,FY,0.028646193,15907.85133,1,2,9,SLOW,2.8646193,0.028646193,24.3686448,0.243686448,361,36.1
41,1,N,B,2,3,NB,0.137466402,1401.427667,1,2,2.5,FAST,13.7466402,0.137466402,2.1467948,0.021467948,321,32.1
41,2,B,B,2,3,BB,0.137466402,1401.427667,1,2,2.5,FAST,13.7466402,0.137466402,2.1467948,0.021467948,321,32.1
41,3,F,B,1,2,FB,0.137466402,1401.427667,1,2,1.5,FAST,13.7466402,0.137466402,2.1467948,0.021467948,321,32.1
41,4,N,Y,2,3,NY,0.067877127,13687.954,1,2,2.5,FAST,6.7877127,0.067877127,20.9680668,0.209680668,321,32.1
41,5,B,Y,4,5,BY,0.067877127,13687.954,1,2,4.5,FAST,6.7877127,0.067877127,20.9680668,0.209680668,321,32.1
41,6,F,Y,2,3,FY,0.067877127,13687.954,1,2,2.5,FAST,6.7877127,0.067877127,20.9680668,0.209680668,321,32.1
