Individual,Trial,Predator,Circle,Initial ,Total ,Treatment,Scale Time,EscapeResponse,ColourDiffPercent,Colour Diff,Brightness D,Brightness.DifferencePercent,Avg Time,Weber Contrast
47,1,P,B,1,2,PB,1,FAST,20.3280514,0.203280514,4429.787667,6.7594227,1.5,0.931271289
47,2,N,B,1,3,NB,1,FAST,20.3280514,0.203280514,4429.787667,6.7594227,2,0.931271289
47,3,P,Y,1,2,PY,1,FAST,1.6841969,0.016841969,10957.233,16.71966583,1.5,-0.543901794
47,4,N,Y,3,4,NY,1,FAST,1.6841969,0.016841969,10957.233,16.71966583,3.5,-0.543901794
49,1,P,B,1,2,PB,1,FAST,19.3584402,0.193584402,3398.322333,5.18550749,1.5,-0.830723744
49,2,N,B,42,44,NB,2,SLOW,19.3584402,0.193584402,3398.322333,5.18550749,43,-0.830723744
49,3,P,Y,1,2,PY,1,FAST,2.3641285,0.023641285,17214.97267,26.26836449,1.5,-0.961340833
49,4,N,Y,4,5,NY,1,FAST,2.3641285,0.023641285,17214.97267,26.26836449,4.5,-0.961340833
50,1,P,B,1,2,PB,1,FAST,12.6775263,0.126775263,2698.533667,4.117698431,1.5,-0.535666007
50,2,N,B,2,8,NB,1,FAST,12.6775263,0.126775263,2698.533667,4.117698431,5,-0.535666007
50,3,P,Y,1,2,PY,1,FAST,6.3687001,0.063687001,11858.71767,18.09524325,1.5,-0.835287952
50,4,N,Y,2,3,NY,1,FAST,6.3687001,0.063687001,11858.71767,18.09524325,2.5,-0.835287952
51,1,P,B,1,2,PB,1,FAST,11.8100376,0.118100376,2503.056,3.819418631,1.5,-0.529616433
51,2,N,B,20,21,NB,2,SLOW,11.8100376,0.118100376,2503.056,3.819418631,20.5,-0.529616433
51,3,P,Y,2,3,PY,1,FAST,8.0878736,0.080878736,12877.48,19.64977493,2.5,-0.852822372
51,4,N,Y,1,2,NY,1,FAST,8.0878736,0.080878736,12877.48,19.64977493,1.5,-0.852822372
52,1,P,B,2,3,PB,1,FAST,23.2581212,0.232581212,2584.859333,3.944242517,2.5,-0.622383843
52,2,N,B,2,6,NB,1,FAST,23.2581212,0.232581212,2584.859333,3.944242517,4,-0.622383843
52,3,P,Y,1,2,PY,1,FAST,4.9756934,0.049756934,10212.60933,15.58344294,1.5,-0.866920497
52,4,N,Y,5,6,NY,1,FAST,4.9756934,0.049756934,10212.60933,15.58344294,5.5,-0.866920497
53,1,P,B,1,2,PB,1,FAST,23.3211544,0.233211544,1349.337,2.058956283,1.5,-0.353586175
53,2,N,B,80,82,NB,2,SLOW,23.3211544,0.233211544,1349.337,2.058956283,81,-0.353586175
53,3,P,Y,1,2,PY,1,FAST,3.6090631,0.036090631,15744.63333,24.02477048,1.5,-0.864624504
53,4,N,Y,84,89,NY,2,SLOW,3.6090631,0.036090631,15744.63333,24.02477048,86.5,-0.864624504
54,1,P,B,1,2,PB,1,FAST,10.8532685,0.108532685,2265.169667,3.456427354,1.5,-0.439567859
54,2,N,B,1,2,NB,1,FAST,10.8532685,0.108532685,2265.169667,3.456427354,1.5,-0.439567859
54,3,P,Y,1,2,PY,1,FAST,8.2583317,0.082583317,9572.401667,14.60654866,1.5,-0.768289964
54,4,N,Y,1,4,NY,1,FAST,8.2583317,0.082583317,9572.401667,14.60654866,2.5,-0.768289964
55,1,P,B,2,3,PB,1,FAST,13.8000468,0.138000468,1535.916667,2.343658605,2.5,-0.343378691
55,2,N,B,1,2,NB,1,FAST,13.8000468,0.138000468,1535.916667,2.343658605,1.5,-0.343378691
55,3,P,Y,2,4,PY,1,FAST,7.4837533,0.074837533,8068.489333,12.31172554,3,-0.733235061
55,4,N,Y,1,2,NY,1,FAST,7.4837533,0.074837533,8068.489333,12.31172554,1.5,-0.733235061
56,1,P,B,3,8,PB,1,FAST,11.9265896,0.119265896,2981.089,4.548850233,5.5,-0.657176367
56,2,N,B,20,24,NB,2,SLOW,11.9265896,0.119265896,2981.089,4.548850233,22,-0.657176367
56,3,P,Y,2,8,PY,1,FAST,8.5453582,0.085453582,9655.636333,14.73355662,5,-0.86131834
56,4,N,Y,3,6,NY,1,FAST,8.5453582,0.085453582,9655.636333,14.73355662,4.5,-0.86131834
57,1,P,B,1,3,PB,1,FAST,23.8109431,0.238109431,1589.271667,2.425073116,2,-0.35473491
57,2,N,B,1,2,NB,1,FAST,23.8109431,0.238109431,1589.271667,2.425073116,1.5,-0.35473491
57,3,P,Y,3,4,PY,1,FAST,5.1509207,0.051509207,15417.07167,23.52494341,3.5,-0.842183073
57,4,N,Y,15,16,NY,2,SLOW,5.1509207,0.051509207,15417.07167,23.52494341,15.5,-0.842183073
58,1,P,B,11,13,PB,2,SLOW,16.3012994,0.163012994,1719.283667,2.623458712,12,-0.374002202
58,2,N,B,180,190,NB,2,SLOW,16.3012994,0.163012994,1719.283667,2.623458712,185,-0.374002202
58,3,P,Y,1,2,PY,1,FAST,3.8446007,0.038446007,7774.618,11.86330663,1.5,-0.729955932
58,4,N,Y,98,100,NY,2,SLOW,3.8446007,0.038446007,7774.618,11.86330663,99,-0.729955932
59,1,P,B,1,2,PB,1,FAST,8.4720457,0.084720457,2272.030333,3.466896061,1.5,-0.461861272
59,2,N,B,1,2,NB,1,FAST,8.4720457,0.084720457,2272.030333,3.466896061,1.5,-0.461861272
59,3,P,Y,2,7,PY,1,FAST,11.8306479,0.118306479,8707.901,13.2874052,4.5,-0.766931268
59,4,N,Y,153,155,NY,2,SLOW,11.8306479,0.118306479,8707.901,13.2874052,154,-0.766931268
60,1,P,B,1,2,PB,1,FAST,18.7876407,0.187876407,7635.327,11.65076219,1.5,1.95018925
60,2,N,B,18,24,NB,2,SLOW,18.7876407,0.187876407,7635.327,11.65076219,21,1.95018925
60,3,P,Y,2,3,PY,1,FAST,2.6130109,0.026130109,3773.884667,5.758578876,2.5,-0.246272126
60,4,N,Y,34,36,NY,2,SLOW,2.6130109,0.026130109,3773.884667,5.758578876,35,-0.246272126
61,1,P,B,52,55,PB,2,SLOW,26.2683218,0.262683218,7.569,0.011549554,53.5,0.001835278
61,2,N,B,264,266,NB,2,SLOW,26.2683218,0.262683218,7.569,0.011549554,265,0.001835278
61,3,P,Y,31,35,PY,2,SLOW,9.5961968,0.095961968,11562.42333,17.64312708,33,-0.704228068
61,4,N,Y,26,0,NY,2,SLOW,9.5961968,0.095961968,11562.42333,17.64312708,13,-0.704228068
62,1,P,B,1,2,PB,1,FAST,12.7864977,0.127864977,2069.695,3.158152132,1.5,-0.444205038
62,2,N,B,85,88,NB,2,SLOW,12.7864977,0.127864977,2069.695,3.158152132,86.5,-0.444205038
62,3,P,Y,1,2,PY,1,FAST,6.4208448,0.064208448,14701.84833,22.43358256,1.5,-0.850285393
62,4,N,Y,20,22,NY,2,SLOW,6.4208448,0.064208448,14701.84833,22.43358256,21,-0.850285393
63,1,P,B,1,2,PB,1,FAST,13.2770767,0.132770767,2054.177,3.134473182,1.5,-0.443286597
63,2,N,B,2,3,NB,1,FAST,13.2770767,0.132770767,2054.177,3.134473182,2.5,-0.443286597
63,3,P,Y,1,2,PY,1,FAST,6.6868315,0.066868315,8421.404667,12.85023982,1.5,-0.765575599
63,4,N,Y,1,2,NY,1,FAST,6.6868315,0.066868315,8421.404667,12.85023982,1.5,-0.765575599
64,1,P,B,15,16,PB,2,SLOW,21.4347748,0.214347748,5186.033,7.91337911,15.5,1.418474179
64,2,N,B,121,123,NB,2,SLOW,21.4347748,0.214347748,5186.033,7.91337911,122,1.418474179
64,3,P,Y,3,7,PY,1,FAST,3.0217989,0.030217989,9253.476333,14.1198998,5,-0.511343973
64,4,N,Y,60,63,NY,2,SLOW,3.0217989,0.030217989,9253.476333,14.1198998,61.5,-0.511343973
66,1,P,B,1,2,PB,1,FAST,11.8213653,0.118213653,2619.041667,3.996401414,1.5,-0.594436118
66,2,N,B,10,12,NB,2,SLOW,11.8213653,0.118213653,2619.041667,3.996401414,11,-0.594436118
66,3,P,Y,2,3,PY,1,FAST,8.1539077,0.081539077,16516.175,25.2020676,2.5,-0.902399132
66,4,N,Y,4,6,NY,1,FAST,8.1539077,0.081539077,16516.175,25.2020676,5,-0.902399132
67,1,P,B,3,11,PB,1,FAST,17.5918175,0.175918175,3422.421667,5.222280715,7,0.70051697
